A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	I1	I2	I3	I4	I5	I6	I7	I8	I9	I10	J1	J2	J3	J4	J5	J6	J7	J8	J9	J10	K1	K2	K3	K4	K5	K6	K7	K8	K9	K10	L1	L2	L3	L4	L5	L6	L7	L8	L9	L10	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	O1	O2	O3	O4	O5	O6	O7	O8	O9	O10	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	age	gender	accuracy	country	source	elapsed
4	4	4	4	3	3	3	3	5	3	3	2	4	3	2	3	3	3	1	2	2	2	3	3	4	3	2	3	2	3	4	3	2	2	2	3	3	2	4	2	3	3	3	3	3	2	4	3	3	3	4	2	3	3	3	5	4	2	3	2	3	3	3	5	2	2	3	2	1	4	1	1	3	4	5	3	1	4	4	3	3	3	2	1	3	4	2	4	1	2	1	1	1	3	4	3	3	3	3	3	3	3	2	2	4	5	3	4	1	2	4	2	1	5	3	4	4	3	5	3	2	3	2	3	4	4	2	4	2	2	2	3	3	3	2	3	3	3	3	3	1	2	2	3	2	2	3	3	2	1	2	2	3	4	3	4	3	3	3	2	2	2	3	23	1	100	MY	6	548
4	5	5	5	4	5	5	3	5	4	3	3	4	5	5	3	3	3	4	5	5	5	5	3	4	4	2	3	5	4	5	5	5	5	3	3	3	5	3	5	5	3	5	3	5	4	3	3	2	5	4	5	5	3	3	2	5	5	5	3	3	5	4	4	5	3	4	4	5	4	5	5	5	3	4	3	1	5	3	5	3	5	5	3	3	3	3	3	1	3	3	3	3	3	2	2	2	1	3	3	3	2	3	2	1	2	1	3	3	2	3	2	2	2	2	3	4	4	3	2	4	1	3	3	4	5	3	4	3	3	4	4	5	1	1	2	1	3	2	3	1	1	3	3	3	3	3	4	3	4	5	4	3	1	2	3	3	1	2	4	3	2	3	44	2	95	US	2	1177
5	5	5	4	4	5	4	3	4	2	5	4	5	5	5	4	5	5	4	4	4	5	5	4	5	5	5	3	4	4	5	5	4	4	4	4	4	5	4	4	4	3	4	4	3	4	3	5	3	4	3	4	4	3	4	1	4	4	4	2	2	4	1	4	4	4	4	3	4	4	5	3	4	5	5	4	2	5	4	5	4	5	5	3	3	2	2	2	1	3	2	2	2	3	5	5	5	4	2	3	3	5	5	2	2	2	2	2	2	2	2	3	2	3	1	2	2	3	2	2	1	2	1	4	5	4	5	3	4	4	2	4	4	3	3	5	4	4	5	5	2	2	4	4	2	4	5	5	4	2	1	1	3	2	2	2	3	2	2	4	3	2	3	27	2	95	US	2	726
4	3	3	4	4	3	4	2	3	4	4	4	5	5	5	5	2	3	3	5	2	4	5	2	4	4	4	2	3	2	3	4	4	3	3	4	4	3	3	3	4	3	3	2	4	4	2	4	3	5	2	5	4	2	4	1	2	5	3	4	2	3	2	2	2	4	2	1	2	2	4	1	3	5	5	5	1	2	3	5	5	5	2	2	2	2	4	4	2	3	3	2	2	4	5	5	5	4	4	4	4	5	5	4	5	5	4	4	4	3	4	3	4	2	2	4	3	3	3	3	2	4	2	5	4	5	4	4	5	5	5	5	4	2	4	5	3	5	5	5	2	3	5	1	2	3	3	3	2	2	2	2	3	3	3	2	4	2	2	2	4	1	3	38	1	95	US	1	640
5	5	5	5	5	5	5	4	4	4	5	4	5	5	5	4	5	5	2	4	4	5	4	5	5	4	2	4	4	4	5	5	4	5	5	4	4	5	5	5	5	5	4	4	5	5	4	5	4	4	2	2	4	2	4	2	4	5	3	3	1	3	2	5	5	5	5	5	5	1	4	5	5	5	5	5	2	4	5	5	5	5	4	2	4	2	2	2	2	2	2	2	2	2	5	4	4	4	2	5	4	4	4	2	2	1	2	2	1	2	3	1	1	1	2	2	2	4	2	1	2	2	1	5	4	4	4	5	5	4	5	4	4	2	5	5	2	4	5	5	1	2	4	4	5	4	4	5	4	4	3	4	4	2	1	1	2	1	3	4	2	1	2	56	2	100	US	1	625
4	4	4	5	3	3	3	4	5	2	3	2	4	4	2	2	2	3	1	2	2	2	4	3	5	3	3	3	3	3	4	3	2	3	2	4	2	2	4	2	3	1	3	3	3	3	3	3	3	3	3	1	3	3	3	5	4	1	3	3	3	3	3	5	2	2	2	2	2	3	1	1	2	4	5	3	1	4	5	3	3	3	2	1	3	4	1	4	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	1	2	4	2	1	5	3	4	4	3	4	3	1	4	2	4	4	4	2	5	2	2	2	3	3	3	3	3	3	3	3	3	1	1	2	4	2	3	3	3	2	1	2	2	3	3	3	4	2	4	3	3	3	2	2	23	1	100	MY	6	457
5	5	5	5	5	5	5	2	5	4	5	4	5	5	5	5	5	5	5	5	5	5	1	4	5	5	5	3	4	5	3	3	4	5	4	1	4	5	5	4	5	5	5	3	5	5	2	5	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	2	5	5	1	3	4	2	2	2	5	5	5	4	5	5	5	5	1	5	1	2	2	1	1	1	1	1	1	1	5	5	5	2	5	2	2	1	1	2	3	1	5	4	4	3	3	3	4	1	1	1	2	1	1	3	4	2	5	4	5	5	5	5	5	5	5	5	4	1	4	5	5	5	4	5	5	2	1	3	4	4	5	5	5	2	4	5	5	5	2	4	2	4	2	2	1	3	1	1	43	2	100	IN	2	737
4	4	2	4	3	4	3	4	4	4	4	4	5	5	4	5	3	4	4	4	3	5	5	1	4	3	4	2	1	1	3	3	3	4	5	2	3	4	5	3	3	3	4	2	1	4	3	2	1	3	2	5	2	3	3	1	3	4	4	5	1	4	3	3	2	5	3	4	2	3	3	1	3	5	4	5	2	2	4	2	4	3	3	4	5	4	5	3	5	4	3	3	4	3	5	4	4	4	3	2	2	4	3	5	4	3	4	5	5	4	4	4	4	3	3	3	5	3	3	5	2	3	4	4	4	4	4	4	5	3	4	4	5	4	4	4	4	3	4	5	2	2	4	3	2	4	4	5	5	4	5	4	3	5	3	5	4	3	5	5	5	3	4	17	1	100	US	1	548
3	4	4	3	3	3	3	3	4	4	1	4	3	4	4	1	3	4	2	4	2	5	5	1	2	3	5	4	3	2	2	3	2	1	1	2	1	2	4	1	2	3	2	1	1	3	1	3	1	4	1	5	3	3	4	2	4	2	5	5	2	5	3	1	1	1	2	1	1	2	1	1	1	2	4	1	1	4	4	3	4	5	5	4	2	3	2	2	1	2	2	2	2	3	4	4	3	2	1	3	3	4	4	5	3	5	5	5	5	5	5	5	5	5	5	5	4	2	5	3	2	3	5	4	1	4	2	3	2	4	4	3	3	4	5	5	5	5	5	5	5	3	5	5	3	4	4	4	5	4	3	2	3	3	1	2	3	4	3	1	1	1	3	17	1	90	US	1	780
5	5	5	4	5	5	5	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	4	5	5	5	2	5	4	5	5	5	5	5	2	5	5	5	5	5	5	4	4	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	4	4	2	5	2	1	2	5	5	5	3	5	5	1	5	5	4	1	1	2	1	1	1	1	1	1	1	5	1	3	2	5	1	4	1	2	2	2	2	5	4	2	2	2	5	2	2	1	1	2	1	1	2	2	1	1	1	5	5	5	5	5	5	5	5	5	1	4	4	5	5	4	5	5	1	1	4	5	4	5	5	5	1	3	4	5	5	1	4	4	2	1	1	1	2	1	1	43	2	100	IN	2	568
2	3	4	2	4	3	2	4	4	4	4	5	5	5	4	4	3	5	4	5	4	5	2	5	4	2	4	1	2	5	3	3	2	2	3	4	5	4	4	2	3	3	4	2	3	4	3	4	2	5	3	4	5	3	4	4	4	5	2	4	2	3	4	3	3	3	4	2	2	2	4	2	2	4	5	4	1	2	3	5	2	5	1	1	2	2	3	4	1	2	2	2	2	5	5	5	5	3	4	3	4	5	5	3	4	4	2	2	2	2	2	2	2	3	2	4	2	4	2	4	2	5	2	4	3	5	4	5	5	4	4	5	5	3	4	2	3	4	1	2	2	2	1	2	2	4	2	2	2	2	1	1	2	5	5	3	4	4	3	1	5	1	4	17	2	90	US	6	501
3	4	4	4	4	4	4	3	3	4	4	3	4	4	3	3	4	4	3	4	3	4	5	2	3	4	3	3	4	4	4	5	4	3	3	2	3	3	4	4	4	3	4	3	3	2	2	4	1	4	3	3	3	3	4	1	4	4	4	4	3	4	3	4	4	3	3	4	4	4	4	4	2	4	4	4	2	3	4	4	4	4	3	4	4	3	3	3	3	3	2	2	2	3	3	1	2	3	2	2	3	2	2	3	2	2	2	3	2	3	3	2	2	3	2	3	3	2	3	3	3	4	3	4	3	3	3	3	4	4	3	2	4	3	4	4	4	4	4	4	2	2	5	3	2	3	4	4	2	3	3	4	4	2	2	2	2	2	3	3	2	4	4	36	1	80	CA	1	616
4	4	4	4	5	4	4	3	4	4	4	4	4	5	4	2	4	4	4	4	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	3	4	4	2	4	2	2	4	4	4	2	4	4	5	4	2	4	2	4	4	4	4	2	4	4	4	4	4	3	4	4	4	4	4	4	4	5	4	2	2	4	4	2	4	4	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	2	4	2	4	4	2	2	4	2	2	2	2	2	2	2	4	2	2	4	4	2	2	2	2	2	4	4	5	4	4	4	4	4	4	4	2	2	4	2	4	4	4	2	4	2	2	2	4	2	2	2	2	2	4	2	2	2	4	2	2	2	2	2	2	2	40	2	90	US	1	492
4	5	4	4	5	4	5	3	4	4	3	4	4	4	4	2	3	4	2	4	3	4	4	3	4	4	4	2	4	4	4	5	4	3	4	2	3	3	4	3	3	3	4	3	4	4	4	4	3	4	4	4	5	3	4	4	4	5	4	3	1	4	2	4	4	4	4	4	3	4	4	2	3	3	5	2	1	3	4	2	4	4	2	2	3	1	2	4	2	2	2	2	3	2	2	3	3	2	2	4	2	4	4	2	2	4	4	2	2	3	3	2	2	4	2	3	4	3	4	4	3	3	4	4	3	4	3	4	2	2	2	2	4	1	2	4	2	4	3	4	2	1	2	4	4	3	4	5	3	3	3	4	2	4	2	4	2	2	4	4	4	2	4	20	1	85	US	2	566
4	5	4	4	5	4	5	3	4	3	4	5	4	5	4	4	3	4	4	2	4	4	4	3	4	3	2	3	2	4	4	3	2	4	4	4	4	4	4	3	4	3	4	4	2	5	3	4	4	5	2	5	2	2	4	3	4	4	3	2	2	3	2	4	4	4	5	4	4	4	4	5	2	3	5	2	1	3	3	4	3	4	3	3	2	4	3	4	3	3	2	3	2	4	4	4	5	4	4	4	3	1	1	2	1	2	2	2	2	2	3	2	2	4	2	4	5	4	2	3	5	4	3	3	4	4	4	4	3	4	3	3	3	2	3	2	3	4	2	4	2	2	2	4	2	4	4	4	4	2	2	2	2	5	4	3	4	4	4	3	4	2	3	19	1	85	US	6	1374
5	4	5	5	5	4	5	1	4	5	4	4	4	5	5	1	3	4	5	2	5	5	4	1	5	2	4	4	4	3	5	5	5	4	4	5	4	4	4	5	5	5	5	5	5	5	1	5	5	1	1	1	5	1	3	2	1	4	5	2	2	3	1	3	5	5	5	5	5	4	2	2	5	4	5	4	1	5	1	5	5	3	5	4	4	5	3	4	3	3	3	3	5	4	5	5	5	4	3	5	5	1	1	2	4	2	5	5	3	5	4	4	2	4	4	1	5	5	2	4	4	2	1	5	5	5	5	5	4	5	1	5	5	4	5	5	5	4	5	5	2	2	5	4	1	1	4	3	5	2	2	2	2	2	1	1	4	1	4	1	2	3	4	21	2	90	US	6	901
2	4	5	4	3	3	4	4	4	5	2	4	5	5	5	5	5	5	4	4	4	5	5	2	2	5	2	1	2	3	2	4	3	5	2	2	2	5	3	4	5	1	5	1	1	2	2	3	4	4	2	1	3	2	1	2	1	2	1	1	2	1	3	1	1	1	2	1	1	1	1	1	1	5	2	5	2	1	3	4	3	5	3	2	4	4	4	4	1	2	4	2	2	5	5	5	4	4	3	4	5	5	5	5	5	4	2	5	5	5	4	5	5	5	2	3	5	5	4	4	5	4	4	3	5	5	2	2	3	5	2	4	5	2	5	4	4	3	2	5	4	2	5	4	1	1	4	5	2	1	1	1	1	4	4	2	1	2	5	1	4	2	3	22	2	95	US	2	778
3	3	2	3	4	3	4	3	4	3	3	3	3	4	3	4	3	3	2	4	3	4	4	3	4	3	4	4	4	3	5	4	4	3	3	4	4	3	3	4	3	4	4	2	2	4	3	4	4	3	2	4	4	4	3	3	4	3	4	3	2	3	2	4	2	3	3	3	4	4	2	2	3	4	3	4	2	1	3	4	2	4	3	2	3	3	2	2	2	3	2	3	3	3	2	4	4	3	3	3	3	4	4	4	3	4	2	3	4	4	3	3	2	2	3	2	4	2	2	3	2	2	2	3	4	4	2	3	4	3	3	3	4	3	2	3	4	4	2	4	2	2	3	4	3	4	3	3	2	2	4	2	4	2	3	2	3	3	3	2	2	4	3	20	1	85	SI	2	638
4	5	4	5	4	3	5	3	5	4	1	1	1	2	2	1	1	2	3	1	2	2	1	4	5	2	4	4	5	5	5	3	4	3	2	5	1	2	3	2	2	1	2	4	5	5	5	5	4	5	5	2	4	4	4	3	4	4	5	5	5	5	5	5	5	5	4	5	5	5	5	4	5	4	4	1	1	4	5	5	3	5	4	2	1	1	1	1	1	1	2	1	1	3	3	4	4	2	3	3	2	4	4	1	1	1	4	2	1	1	2	2	2	4	2	4	2	1	5	5	2	2	4	4	3	5	2	5	1	5	1	2	1	1	1	1	1	3	1	3	1	1	1	4	4	3	2	3	2	4	3	5	1	1	1	1	1	3	3	1	1	2	2	18	2	100	US	6	577
4	5	4	2	4	3	3	2	3	2	1	2	1	4	3	4	1	4	4	4	2	4	3	2	5	4	4	4	4	4	4	4	4	5	5	5	4	5	5	5	4	5	5	5	5	5	5	4	4	5	5	4	5	4	5	4	4	3	4	4	2	5	4	5	5	5	4	5	5	5	5	5	5	2	3	1	1	1	3	5	2	4	4	2	4	4	4	5	3	4	4	4	4	3	2	3	4	1	3	4	2	2	2	4	2	1	4	3	2	4	3	4	2	4	1	1	3	1	2	2	1	2	1	2	2	3	1	5	1	1	1	1	1	1	4	2	1	2	1	4	1	1	2	3	1	4	2	4	1	1	3	5	1	2	3	4	4	3	5	3	4	4	4	22	1	100	US	6	546
1	2	1	2	1	1	2	2	1	2	4	5	5	5	5	4	4	5	5	4	5	5	5	4	2	4	4	2	5	2	2	4	5	4	2	4	5	5	4	2	5	5	5	1	1	1	1	1	1	1	1	1	1	5	4	1	2	1	1	2	4	1	4	1	1	1	1	1	1	1	2	1	1	5	5	5	4	2	5	5	2	5	2	5	5	3	5	5	5	5	5	5	5	4	5	5	5	5	3	4	5	5	5	5	5	5	4	4	5	5	2	5	5	2	4	1	4	4	2	2	2	2	1	4	5	5	5	4	5	5	5	5	5	5	5	4	4	5	2	5	5	3	5	5	1	4	4	3	5	2	2	3	2	4	4	5	5	2	1	2	5	5	5	30	2	100	RS	1	589
4	4	3	3	4	3	5	3	3	5	4	4	5	4	4	4	4	4	3	4	4	4	4	2	4	4	4	3	4	2	4	3	3	3	3	4	4	3	4	4	4	3	4	2	2	3	1	4	2	3	2	3	4	3	4	2	4	2	3	2	3	3	2	2	2	4	2	3	2	2	3	3	3	4	5	3	1	3	5	5	5	5	3	4	3	3	4	3	2	2	4	2	2	4	5	4	4	4	4	3	4	5	5	3	4	3	2	1	2	3	3	3	2	2	2	4	3	2	1	2	2	3	3	5	5	5	4	3	5	5	5	5	5	3	3	4	3	4	4	4	3	3	4	3	3	4	2	3	3	3	4	4	2	3	3	4	3	3	3	3	4	2	3	29	2	90	TZ	1	584
4	3	5	2	4	4	4	1	4	2	4	2	5	5	4	4	4	5	4	3	4	5	4	2	2	4	3	2	2	2	1	4	2	5	3	4	4	4	2	3	4	4	4	1	2	5	2	4	2	5	2	4	5	4	4	1	5	5	3	3	1	3	3	3	1	2	1	1	3	4	5	1	2	5	5	4	2	5	5	4	5	5	4	1	2	4	3	3	1	2	2	2	3	4	5	5	5	4	3	3	3	5	5	2	4	3	3	4	4	5	3	5	5	2	3	2	5	1	4	2	2	4	2	5	4	5	4	4	5	5	3	4	4	2	4	5	3	5	5	5	2	4	5	4	4	3	4	5	2	3	3	5	3	3	4	3	2	3	2	3	3	1	1	15	2	99	BG	6	1375
5	4	5	5	5	4	4	4	5	2	4	4	5	4	5	4	2	5	4	3	4	4	4	3	4	4	4	2	3	4	4	4	4	4	3	5	5	4	4	3	4	3	4	3	4	5	4	5	3	5	4	5	4	4	4	1	5	1	5	4	2	5	3	5	3	4	4	4	4	4	4	2	4	3	4	2	3	4	5	5	4	2	1	2	3	3	3	5	1	3	2	3	2	3	4	4	4	2	2	3	3	4	4	1	3	2	2	2	1	1	1	1	1	2	3	4	3	2	4	3	3	4	2	3	4	4	4	2	5	1	5	4	4	3	4	4	3	4	4	5	2	3	2	4	2	4	2	4	2	3	1	2	2	2	2	4	3	2	2	4	2	2	2	25	2	90	IE	2	494
2	4	4	1	3	4	2	1	2	3	4	4	5	5	5	2	4	5	4	4	5	5	5	4	5	3	3	4	5	4	5	5	3	4	4	3	2	4	4	3	4	3	4	3	3	2	4	4	3	3	4	4	4	3	4	2	3	3	2	3	5	3	4	2	4	3	2	3	3	2	4	2	3	5	5	5	1	4	3	2	2	3	5	3	4	4	5	4	3	4	5	4	5	4	4	3	4	4	3	4	3	4	4	3	5	3	3	3	4	3	3	3	2	3	1	3	3	2	3	3	2	2	1	4	5	4	2	5	3	5	3	5	1	5	5	5	4	5	5	5	5	4	2	3	1	4	4	5	2	4	3	3	4	2	2	4	4	1	3	3	2	3	3	27	1	90	GB	1	848
5	5	4	4	4	5	4	4	5	4	4	2	4	4	4	3	3	4	2	4	3	4	4	2	4	4	4	3	5	4	5	4	4	4	4	4	3	4	3	3	3	3	4	3	3	4	3	4	2	4	2	4	3	3	3	1	3	1	4	4	2	3	3	4	4	2	4	4	4	4	5	4	3	5	4	4	3	3	5	4	4	5	4	2	3	3	2	2	1	3	2	2	2	2	3	3	5	2	4	2	2	4	3	3	2	2	2	3	3	3	4	4	4	3	2	2	4	4	3	2	3	3	2	4	3	4	3	3	3	4	5	4	4	2	2	4	4	4	4	4	2	2	3	4	3	4	3	3	4	4	4	5	2	2	2	2	3	2	3	2	3	2	2	30	2	85	GR	2	4801
4	4	4	4	4	3	4	3	3	3	4	4	5	4	4	4	3	4	4	3	4	5	4	3	4	3	4	3	1	3	4	4	3	2	1	3	4	3	3	3	4	3	3	3	2	4	1	4	4	3	2	4	3	2	1	1	1	2	2	2	4	2	1	4	3	4	3	4	4	5	4	4	3	5	4	5	4	2	3	3	2	3	4	4	4	2	2	4	2	3	3	3	2	4	5	4	4	5	3	4	4	4	4	3	4	2	3	3	3	3	3	4	2	2	3	4	4	4	4	4	2	4	3	2	4	5	4	5	5	4	3	4	5	2	4	3	2	5	4	4	2	2	1	2	2	2	2	2	2	2	4	2	2	2	2	4	4	2	2	2	2	2	2	26	1	90	IL	1	873
